algorithm,model,metric,n,mean,sample_std,ci95_low,ci95_high,median,q1,q3,min,max
algo1,openai-gpt-4o,accuracy,160,0.896761,0.007664,0.895564,0.897957,0.900332,0.888704,0.901993,0.878738,0.906977
algo1,openai-gpt-4o,precision,160,0.378734,0.174671,0.351462,0.406007,0.4,0.25,0.5,0.1,0.714286
algo1,openai-gpt-4o,recall,160,0.056674,0.032541,0.051593,0.061755,0.050847,0.033898,0.084746,0.016949,0.152542
algo1,openai-gpt-4o,accuracy,160,0.941927,0.003246,0.94142,0.942433,0.942918,0.938689,0.943975,0.933404,0.947146
algo1,openai-gpt-4o,precision,160,0.324641,0.185956,0.295607,0.353676,0.3,0.2,0.428571,0.0,1.0
algo1,openai-gpt-4o,recall,160,0.046274,0.039729,0.040071,0.052477,0.038462,0.019231,0.057692,0.0,0.211538
algo2,deepseek-chat-v3-0324,accuracy,320,0.934304,0.009157,0.933297,0.935311,0.935065,0.928571,0.941558,0.902597,0.951299
algo2,deepseek-chat-v3-0324,precision,320,0.459637,0.148789,0.443273,0.476001,0.444444,0.375,0.571429,0.2,0.8
algo2,deepseek-chat-v3-0324,recall,320,0.212171,0.081754,0.20318,0.221163,0.210526,0.157895,0.263158,0.052632,0.368421
algo2,deepseek-chat-v3-0324,accuracy,320,0.894129,0.006261,0.89344,0.894818,0.895349,0.892027,0.898671,0.870432,0.903654
algo2,deepseek-chat-v3-0324,precision,320,0.322448,0.115216,0.309777,0.33512,0.35,0.222222,0.416667,0.076923,0.555556
algo2,deepseek-chat-v3-0324,recall,320,0.073093,0.037706,0.068946,0.07724,0.084746,0.050847,0.101695,0.016949,0.169492
algo2,deepseek-chat-v3-0324,accuracy,320,0.910032,0.054658,0.904021,0.916044,0.921776,0.899577,0.94186,0.612051,0.953488
algo2,deepseek-chat-v3-0324,precision,320,0.275776,0.163286,0.257817,0.293734,0.26,0.133333,0.434783,0.058824,0.653846
algo2,deepseek-chat-v3-0324,recall,320,0.183894,0.129961,0.169601,0.198188,0.153846,0.096154,0.230769,0.038462,0.615385
