algorithm,model,feature,metric,ss,pct_with_error,pct_without_error
algo1,Mistral,Example & Beam vs Contrastive,precision,1.2428667907778962e-32,3.521284733640599e-33,4.2588239546929626e-33
algo1,Mistral,Example & Contrastive Penalty,precision,0.9375000000000002,0.26561208830126326,0.3212450028555112
algo1,Mistral,Example & Counterexample,precision,0.04166666666666665,0.01180498170227836,0.014277555682467157
algo1,Mistral,Example & Greedy vs Beam/Contrastive,precision,1.3147681753683531e-33,3.7249954207107168e-34,4.505202200005779e-34
algo1,Mistral,Example & Tag/Adjacency,precision,0.1666666666666668,0.047219926809113494,0.05711022272986869
algo1,Mistral,Explanation,precision,0.1666666666666668,0.047219926809113494,0.05711022272986869
algo1,Mistral,Explanation & Array/List,precision,0.6666666666666666,0.1888797072364538,0.2284408909194746
algo1,Mistral,Explanation & Beam Width,precision,8.217301096052206e-34,2.3281221379441975e-34,2.8157513750036115e-34
algo1,Mistral,Explanation & Beam vs Contrastive,precision,0.20833333333333348,0.05902490851139187,0.07138777841233586
algo1,Mistral,Explanation & Contrastive Penalty,precision,0.9375000000000013,0.2656120883012636,0.3212450028555116
algo1,Mistral,Explanation & Counterexample,precision,0.041666666666666546,0.01180498170227833,0.014277555682467122
algo1,Mistral,Explanation & Example,precision,0.3750000000000003,0.10624483532050537,0.12849800114220455
algo1,Mistral,Explanation & Greedy vs Beam/Contrastive,precision,0.041666666666666685,0.01180498170227837,0.01427755568246717
algo1,Mistral,Explanation & Tag/Adjacency,precision,0.1666666666666668,0.047219926809113494,0.05711022272986869
algo1,Mistral,Greedy vs Beam/Contrastive,precision,19.26041666666723,5.456852791878333,6.599800114220638
algo1,Mistral,Tag/Adjacency,precision,1.0416666666666667,0.29512454255695914,0.35693889206167906
algo1,Mistral,Tag/Adjacency & Beam Width,precision,0.0,0.0,0.0
algo1,Mistral,Tag/Adjacency & Beam vs Contrastive,precision,1.3020833333333341,0.3689056781961991,0.44617361507709913
algo1,Mistral,Tag/Adjacency & Contrastive Penalty,precision,1.6666666666666674,0.47219926809113477,0.5711022272986868
algo1,Mistral,Tag/Adjacency & Greedy vs Beam/Contrastive,precision,0.2604166666666676,0.07378113563924003,0.08923472301542007
algo1,Mistral,Array/List,recall,0.012604166666666708,0.0036368382266916024,0.004538129913997514
algo1,Mistral,Array/List & Beam Width,recall,0.005167441460055109,0.0014910266686507974,0.001860537177021382
algo1,Mistral,Array/List & Beam vs Contrastive,recall,0.0046875,0.0013525431421580296,0.0016877342655362598
algo1,Mistral,Array/List & Contrastive Penalty,recall,0.271231491046832,0.07826182253924045,0.09765689201754232
algo1,Mistral,Array/List & Greedy vs Beam/Contrastive,recall,0.05294765840220392,0.015277651683248402,0.019063803171265794
algo1,Mistral,Array/List & Tag/Adjacency,recall,0.04514548898071629,0.013026393924317592,0.0162546322532575
algo1,Mistral,Beam Width,recall,0.007491821625345335,0.0021617092184815054,0.002697430201254587
algo1,Mistral,Beam vs Contrastive,recall,79.51448002754914,22.94330979488495,28.629186677075896
algo1,Mistral,Contrastive Penalty,recall,167.99506069215087,48.473721014526,60.48661767914382
algo1,Mistral,Counterexample,recall,0.27871986914600577,0.0804225381539442,0.10035308237727927
algo1,Mistral,Counterexample & Array/List,recall,0.028203340220385696,0.008137863338886912,0.010154611987738009
algo1,Mistral,Counterexample & Beam Width,recall,0.0007769455922864968,0.00022418185230442875,0.00027973924235931414
algo1,Mistral,Counterexample & Beam vs Contrastive,recall,0.059934573002754774,0.01729367374784976,0.02157944161003385
algo1,Mistral,Counterexample & Contrastive Penalty,recall,0.028462896005509566,0.00821275622361795,0.010248065042110642
algo1,Mistral,Counterexample & Greedy vs Beam/Contrastive,recall,0.0019016873278236946,0.0005487176861390436,0.0006847024779742157
