source_input,Array/List(1/-1),metric,n,mean,sample_std,median,min,max,ci95_low,ci95_high
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,accuracy,160,0.9356737012987013,0.007347894935263882,0.935064935064935,0.9188311688311688,0.948051948051948,0.9345351331825519,0.9368122694148507
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,1,accuracy,160,0.9329342532467532,0.01050994489448944,0.9334415584415584,0.9025974025974026,0.9512987012987012,0.9313057204132303,0.934562786080276
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,precision,160,0.48072977369852365,0.13857072578896515,0.4545454545454545,0.2,0.8,0.4592580172832513,0.502201530113796
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,1,precision,160,0.4385446787367259,0.15594302086625264,0.4,0.2,0.75,0.41438105731064434,0.4627083001628075
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,recall,160,0.22039473684210523,0.07632463508416096,0.2105263157894736,0.0526315789473684,0.3684210526315789,0.2085681121081951,0.23222136157601536
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,1,recall,160,0.20394736842105257,0.08630101358258968,0.2105263157894736,0.0526315789473684,0.3684210526315789,0.19057488782324913,0.217319849018856
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg2_sg3.csv,-1,accuracy,160,0.8944144518272426,0.004874904856958676,0.8945182724252492,0.8787375415282392,0.9019933554817277,0.8936590774937369,0.8951698261607482
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg2_sg3.csv,1,accuracy,160,0.8938434385382059,0.00739788915230699,0.8953488372093024,0.8704318936877077,0.903654485049834,0.8926971237378676,0.8949897533385442
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg2_sg3.csv,-1,precision,160,0.31585799488412974,0.10720735646911367,0.3333333333333333,0.1,0.5,0.2992460428940984,0.3324699468741611
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg2_sg3.csv,1,precision,160,0.32903881504524884,0.12268619502549505,0.3571428571428571,0.0769230769230769,0.5555555555555556,0.31002839217197986,0.34804923791851783
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg2_sg3.csv,-1,recall,160,0.07203389830508469,0.037780088579978624,0.0677966101694915,0.0169491525423728,0.135593220338983,0.0661798129294179,0.07788798368075149
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg2_sg3.csv,1,recall,160,0.07415254237288132,0.03772026259061545,0.0847457627118644,0.0169491525423728,0.1694915254237288,0.0683077271303079,0.07999735761545475
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg3_sg1.csv,-1,accuracy,160,0.9218089323467231,0.021683984183474104,0.921247357293869,0.8773784355179705,0.9534883720930232,0.9184489641871477,0.9251689005062985
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg3_sg1.csv,1,accuracy,160,0.8982558139534884,0.07241899165463016,0.9175475687103595,0.6120507399577167,0.945031712473573,0.8870343749389019,0.9094772529680749
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg3_sg1.csv,-1,precision,160,0.2897518805253476,0.15875034955002298,0.2633333333333333,0.0588235294117647,0.6538461538461539,0.26515325901297565,0.3143505020377196
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg3_sg1.csv,1,precision,160,0.26179947108434265,0.16702646842100896,0.18742017879948908,0.0588235294117647,0.5,0.23591845166685843,0.28768049050182687
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg3_sg1.csv,-1,recall,160,0.18329326923076922,0.10697289501091617,0.173076923076923,0.0384615384615384,0.4615384615384615,0.16671764742007789,0.19986889104146055
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg3_sg1.csv,1,recall,160,0.18449519230769226,0.1498063093149212,0.1538461538461538,0.0384615384615384,0.6153846153846154,0.16128246418804865,0.20770792042733588
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,-1,accuracy,160,0.9312094155844155,0.007526186695781103,0.9318181818181818,0.9123376623376624,0.9448051948051948,0.9300432208737536,0.9323756102950774
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,1,accuracy,160,0.9315137987012987,0.0096465369950674,0.9318181818181818,0.8896103896103896,0.9448051948051948,0.9300190523078617,0.9330085450947356
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,-1,precision,160,0.41305210057507846,0.12027334237804455,0.4083333333333333,0.2142857142857142,0.75,0.3944155530930007,0.43168864805715623
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,1,precision,160,0.42033784829301135,0.11928959949310672,0.4,0.1739130434782608,0.75,0.4018537333502046,0.4388219632358181
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,-1,recall,160,0.22039473684210523,0.07745753019416644,0.2105263157894736,0.1052631578947368,0.4210526315789473,0.20839256819220855,0.2323969054920019
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,1,recall,160,0.22368421052631576,0.059028647799162566,0.2105263157894736,0.1052631578947368,0.3684210526315789,0.21453762678829905,0.23283079426433248
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg2_sg3.csv,-1,accuracy,160,0.9003322259136214,0.003885657998212266,0.9003322259136213,0.8870431893687708,0.9053156146179402,0.8997301369689641,0.9009343148582787
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg2_sg3.csv,1,accuracy,160,0.9003322259136214,0.0029161038521832647,0.9003322259136213,0.8920265780730897,0.9053156146179402,0.8998803709403633,0.9007840808868794
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg2_sg3.csv,-1,precision,160,0.3804093567251462,0.20839350742012203,0.4285714285714285,0.0,0.6666666666666666,0.3481184482062457,0.4127002652440467
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg2_sg3.csv,1,precision,160,0.3484532828282828,0.22395481642700743,0.4,0.0,0.75,0.31375112449744524,0.38315544115912037
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg2_sg3.csv,-1,recall,160,0.04608050847457623,0.03783608953257063,0.0338983050847457,0.0,0.135593220338983,0.04021774566140427,0.05194327128774819
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg2_sg3.csv,1,recall,160,0.03654661016949149,0.030683673887925145,0.0338983050847457,0.0,0.1016949152542373,0.03179212564257529,0.04130109469640769
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg3_sg1.csv,-1,accuracy,160,0.9288121035940803,0.021568824792989306,0.9312896405919662,0.8361522198731501,0.9482029598308668,0.9254699795669314,0.9321542276212291
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg3_sg1.csv,1,accuracy,160,0.9114693446088795,0.045652712635158264,0.9334038054968288,0.7494714587737844,0.9460887949260042,0.9043953834975594,0.9185433057201996
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg3_sg1.csv,-1,precision,160,0.2712201013708158,0.13479307291723963,0.22649572649572647,0.0909090909090909,0.6666666666666666,0.2503336983324657,0.2921065044091659
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg3_sg1.csv,1,precision,160,0.26334274810837127,0.15538757358848718,0.2188328912466843,0.0566037735849056,0.6,0.23926519412966576,0.2874203020870768
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg3_sg1.csv,-1,recall,160,0.11658653846153841,0.1048817607989054,0.0769230769230769,0.0384615384615384,0.4807692307692308,0.1003349412539968,0.13283813566908
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg3_sg1.csv,1,recall,160,0.1304086538461538,0.12236337429779948,0.0769230769230769,0.0384615384615384,0.5769230769230769,0.1114482525628809,0.1493690551294267
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg1_sg2.csv,-1,accuracy,160,0.9059456168831168,0.16332397501639,0.935064935064935,0.0,0.9415584415584416,0.8806383047624696,0.931252929003764
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg1_sg2.csv,1,accuracy,160,0.906351461038961,0.16333945037703926,0.935064935064935,0.0,0.9415584415584416,0.8810417509863379,0.9316611710915842
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg1_sg2.csv,-1,precision,160,0.3713462752525253,0.18766070679780586,0.4444444444444444,0.0,0.6,0.3422679474734179,0.4004246030316327
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg1_sg2.csv,1,precision,160,0.3890376984126984,0.16433903737146052,0.43650793650793646,0.0,0.5714285714285714,0.36357310075060445,0.4145022960747924
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg1_sg2.csv,-1,recall,160,0.11184210526315785,0.06953113690738943,0.1052631578947368,0.0,0.2105263157894736,0.10106814397766886,0.12261606654864685
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg1_sg2.csv,1,recall,160,0.12828947368421045,0.07221968706700235,0.1578947368421052,0.0,0.2631578947368421,0.11709891723543014,0.13948003013299076
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg2_sg3.csv,-1,accuracy,160,0.9012147009966778,0.002242781249449054,0.9003322259136213,0.8920265780730897,0.9053156146179402,0.9008671784416307,0.9015622235517249
