algorithm,row_index,model,metric_name,historical_score,probe_score,score_delta,parsed_edge_count,historical_model,response_source
algo1,120,mistral-small-2603,accuracy,0.922077922077922,0.9383116883116883,0.016233766233766267,5,gpt-5,cache
algo1,120,mistral-small-2603,recall,0.3157894736842105,0.05263157894736842,-0.2631578947368421,5,gpt-5,cache
algo1,120,mistral-small-2603,precision,0.3529411764705882,0.5,0.1470588235294118,5,gpt-5,cache
algo1,120,mistral-medium-2508,accuracy,0.922077922077922,0.9415584415584416,0.019480519480519543,4,gpt-5,cache
algo1,120,mistral-medium-2508,recall,0.3157894736842105,0.10526315789473684,-0.21052631578947367,4,gpt-5,cache
algo1,120,mistral-medium-2508,precision,0.3529411764705882,0.6666666666666666,0.3137254901960784,4,gpt-5,cache
algo1,140,mistral-small-2506,accuracy,0.9155844155844156,0.9318181818181818,0.016233766233766156,7,gpt-5,cache
algo1,140,mistral-small-2506,recall,0.4736842105263157,0.0,-0.4736842105263157,7,gpt-5,cache
algo1,140,mistral-small-2506,precision,0.36,0.0,-0.36,7,gpt-5,cache
algo1,140,mistral-small-2603,accuracy,0.9155844155844156,0.9415584415584416,0.025974025974025983,6,gpt-5,cache
algo1,140,mistral-small-2603,recall,0.4736842105263157,0.10526315789473684,-0.36842105263157887,6,gpt-5,cache
algo1,140,mistral-small-2603,precision,0.36,0.6666666666666666,0.30666666666666664,6,gpt-5,cache
algo1,140,mistral-medium-2508,accuracy,0.9155844155844156,0.9383116883116883,0.022727272727272707,4,gpt-5,cache
algo1,140,mistral-medium-2508,recall,0.4736842105263157,0.10526315789473684,-0.36842105263157887,4,gpt-5,cache
algo1,140,mistral-medium-2508,precision,0.36,0.5,0.14,4,gpt-5,cache
algo2,0,mistral-small-2506,accuracy,0.8863636363636364,0.9285714285714286,0.04220779220779225,5,gpt-5,cache
algo2,0,mistral-small-2506,recall,0.4210526315789473,0.05263157894736842,-0.36842105263157887,5,gpt-5,cache
algo2,0,mistral-small-2506,precision,0.25,0.2,-0.04999999999999999,5,gpt-5,cache
