algorithm,model,metric,llm_mean,mean_k,row_count,random_k_mean,random_k_ci95_low,random_k_ci95_high,random_k_mean_delta,wordnet_ontology_match_mean,wordnet_ontology_match_ci95_low,wordnet_ontology_match_ci95_high,wordnet_ontology_match_mean_delta
algo1,deepseek-chat-v3.1,accuracy,0.9181020650860768,576.3333333333334,160,1.0,1.0,1.0,-0.0818979349139232,1.0,1.0,1.0,-0.0818979349139232
algo1,deepseek-chat-v3.1,precision,0.2846976070043504,576.3333333333334,160,1.0,1.0,1.0,-0.7153023929956497,1.0,1.0,1.0,-0.7153023929956496
algo1,deepseek-chat-v3.1,recall,0.0691372029323634,576.3333333333334,160,1.0,1.0,1.0,-0.9308627970676366,1.0,1.0,1.0,-0.9308627970676364
algo1,deepseek-v3-chat-0324,accuracy,0.9140192414174972,610.5416666666666,160,1.0,1.0,1.0,-0.0859807585825027,1.0,1.0,1.0,-0.0859807585825027
algo1,deepseek-v3-chat-0324,precision,0.2601750039491449,610.5416666666666,160,1.0,1.0,1.0,-0.739824996050855,1.0,1.0,1.0,-0.739824996050855
algo1,deepseek-v3-chat-0324,recall,0.1058426756673299,610.5416666666666,160,1.0,1.0,1.0,-0.8941573243326701,1.0,1.0,1.0,-0.8941573243326701
algo1,gemini-2.0-flash-exp,accuracy,0.8766153541226216,472.62916666666666,160,0.9583333333333334,0.9503369496617904,0.9663297170048764,-0.0817179792107117,0.9583333333333334,0.9404379506103476,0.976228716056319,-0.0817179792107117
algo1,gemini-2.0-flash-exp,precision,0.2609019002272186,472.62916666666666,160,0.9583333333333334,0.9503369496617904,0.9663297170048764,-0.6974314331061147,0.9583333333333334,0.9404379506103476,0.976228716056319,-0.6974314331061147
algo1,gemini-2.0-flash-exp,recall,0.0796111959331182,472.62916666666666,160,0.9583333333333334,0.9503369496617904,0.9663297170048764,-0.8787221374002151,0.9583333333333334,0.9404379506103476,0.976228716056319,-0.8787221374002151
algo1,gemini-2.5-pro,accuracy,0.9248637747911004,547.1041666666666,160,1.0,1.0,1.0,-0.0751362252088996,1.0,1.0,1.0,-0.0751362252088996
algo1,gemini-2.5-pro,precision,0.4041983768546268,547.1041666666666,160,1.0,1.0,1.0,-0.5958016231453732,1.0,1.0,1.0,-0.5958016231453732
algo1,gemini-2.5-pro,recall,0.0931334917312838,547.1041666666666,160,1.0,1.0,1.0,-0.9068665082687162,1.0,1.0,1.0,-0.9068665082687162
algo1,gpt-5,accuracy,0.9065040458572436,618.6666666666666,160,1.0,1.0,1.0,-0.0934959541427564,1.0,1.0,1.0,-0.0934959541427564
algo1,gpt-5,precision,0.3234258199241703,618.6666666666666,160,1.0,1.0,1.0,-0.6765741800758297,1.0,1.0,1.0,-0.6765741800758297
algo1,gpt-5,recall,0.2388862322445618,618.6666666666666,160,1.0,1.0,1.0,-0.7611137677554382,1.0,1.0,1.0,-0.7611137677554382
algo1,openai-gpt-4o,accuracy,0.9233665559246956,520.4791666666666,160,1.0,1.0,1.0,-0.0766334440753045,1.0,1.0,1.0,-0.0766334440753045
algo1,openai-gpt-4o,precision,0.3545246403242726,520.4791666666666,160,1.0,1.0,1.0,-0.6454753596757273,1.0,1.0,1.0,-0.6454753596757273
algo1,openai-gpt-4o,recall,0.0710483785653834,520.4791666666666,160,1.0,1.0,1.0,-0.9289516214346164,1.0,1.0,1.0,-0.9289516214346166
algo2,deepseek-chat-v3-0324,accuracy,0.9128217652018524,614.2916666666666,320,1.0,1.0,1.0,-0.0871782347981475,1.0,1.0,1.0,-0.0871782347981475
algo2,deepseek-chat-v3-0324,precision,0.3526204356623864,614.2916666666666,320,1.0,1.0,1.0,-0.6473795643376136,1.0,1.0,1.0,-0.6473795643376136
algo2,deepseek-chat-v3-0324,recall,0.1563861679132642,614.2916666666666,320,1.0,1.0,1.0,-0.8436138320867358,1.0,1.0,1.0,-0.8436138320867358
algo2,deepseek-chat-v3.1,accuracy,0.9172781857193194,613.9270833333334,320,1.0,1.0,1.0,-0.0827218142806805,1.0,1.0,1.0,-0.0827218142806805
algo2,deepseek-chat-v3.1,precision,0.3494692396501176,613.9270833333334,320,1.0,1.0,1.0,-0.6505307603498823,1.0,1.0,1.0,-0.6505307603498823
algo2,deepseek-chat-v3.1,recall,0.1289502097200301,613.9270833333334,320,1.0,1.0,1.0,-0.8710497902799699,1.0,1.0,1.0,-0.8710497902799699
algo2,gemini-2.0-flash-exp,accuracy,0.8818505864290748,503.0260416666667,320,0.953125,0.94714465460679,0.95910534539321,-0.0712744135709251,0.953125,0.9397469646666798,0.9665030353333202,-0.0712744135709251
algo2,gemini-2.0-flash-exp,precision,0.2925773034531257,503.0260416666667,320,0.953125,0.94714465460679,0.95910534539321,-0.6605476965468742,0.953125,0.9397469646666798,0.9665030353333202,-0.6605476965468742
algo2,gemini-2.0-flash-exp,recall,0.0551834764347308,503.0260416666667,320,0.953125,0.94714465460679,0.95910534539321,-0.8979415235652692,0.953125,0.9397469646666798,0.9665030353333202,-0.8979415235652691
algo2,gemini-2.5-pro,accuracy,0.9253514169938588,582.984375,320,1.0,1.0,1.0,-0.0746485830061411,1.0,1.0,1.0,-0.0746485830061411
algo2,gemini-2.5-pro,precision,0.3928728406669582,582.984375,320,1.0,1.0,1.0,-0.6071271593330416,1.0,1.0,1.0,-0.6071271593330417
algo2,gemini-2.5-pro,recall,0.0977629327351951,582.984375,320,1.0,1.0,1.0,-0.9022370672648048,1.0,1.0,1.0,-0.9022370672648048
algo2,gpt-5,accuracy,0.9183030995167624,618.3020833333334,320,1.0,1.0,1.0,-0.0816969004832376,1.0,1.0,1.0,-0.0816969004832376
algo2,gpt-5,precision,0.3555737491344762,618.3020833333334,320,1.0,1.0,1.0,-0.6444262508655237,1.0,1.0,1.0,-0.6444262508655237
algo2,gpt-5,recall,0.1640877857739197,618.3020833333334,320,1.0,1.0,1.0,-0.8359122142260802,1.0,1.0,1.0,-0.8359122142260803
algo2,openai-gpt-4o,accuracy,0.624730223749119,272.8072916666667,320,0.671875,0.658590518829798,0.685159481170202,-0.0471447762508809,0.671875,0.6421576096496752,0.7015923903503248,-0.0471447762508809
algo2,openai-gpt-4o,precision,0.3034908234126984,272.8072916666667,320,0.671875,0.658590518829798,0.685159481170202,-0.3683841765873016,0.671875,0.6421576096496752,0.7015923903503248,-0.3683841765873016
algo2,openai-gpt-4o,recall,0.047603283898305,272.8072916666667,320,0.671875,0.658590518829798,0.685159481170202,-0.624271716101695,0.671875,0.6421576096496752,0.7015923903503248,-0.624271716101695
algo3,deepseek-chat-v3.1,recall,0.0577651541666666,38.87916666666667,240,0.075,0.0600910184303934,0.0899089815696065,-0.0172348458333333,0.075,0.0416067553746138,0.1083932446253861,-0.0172348458333333
algo3,deepseek-v3-chat-0324,recall,0.0073863625,3.5,240,0.0083333333333333,0.0031877014412067,0.0134789652254599,-0.0009469708333333,0.0083333333333333,-0.003191890151835,0.0198585568185017,-0.0009469708333333
algo3,gemini-2.0-flash-exp,recall,0.0566287958333333,46.40416666666667,240,0.1083333333333333,0.0907407831412978,0.1259258835253688,-0.0517045375,0.1083333333333333,0.0689294123207374,0.1477372543459292,-0.0517045375
algo3,google-gemini-2.5-pro,recall,0.0303030333333333,20.483333333333334,240,0.05,0.0376634624604231,0.0623365375395768,-0.0196969666666666,0.05,0.0223685340969794,0.0776314659030206,-0.0196969666666666
algo3,gpt-5,recall,0.0,0.0,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
algo3,openai-gpt-4o,recall,0.0865530291666666,49.93333333333333,240,0.0875,0.0715056372003194,0.1034943627996805,-0.0009469708333333,0.0875,0.0516757106544599,0.1233242893455399,-0.0009469708333333
