accuracy,recall,precision,Feature
5.455607287723704,3.2106186835062633,6.038042046880821,Array/List(1/-1)
1.7779465239569274,10.02842064682673,5.403087841944864,Counterexample
8.207523015760534,21.87726915872361,2.775950577248532,Example
8.79358758467414,2.4017340642909706,4.3090911274154235,Explanation
1.3082552394775318,4.0413559628416715,4.368608551447939,Tag/Adjacency(1/-1)
14.18858884948605,6.9074679103902445,10.76730140893958,Array/List(1/-1)_AND_Tag/Adjacency(1/-1)
7.038048957527288,7.748963422400169,7.0481790268772135,Counterexample_AND_Array/List(1/-1)
4.171937743485272,5.503208113646031,1.1237524823484026,Counterexample_AND_Tag/Adjacency(1/-1)
8.521387715325224,3.717600398292905,10.755608029438404,Example_AND_Array/List(1/-1)
9.798309765740777,4.652563209072989,7.511834275522811,Example_AND_Counterexample
3.232099857932988,9.289051059070447,4.969793524924935,Example_AND_Tag/Adjacency(1/-1)
0.37393684892207063,3.7149262973551362,3.2671924554513976,Explanation_AND_Array/List(1/-1)
5.929259030909848,9.995380815875892,11.333255914701843,Explanation_AND_Counterexample
6.60670669351125,2.6932149308161777,9.118420729506504,Explanation_AND_Example
14.596804885566398,4.218225326890764,11.20988200735133,Explanation_AND_Tag/Adjacency(1/-1)
