source_input,Convergence,metric,n,mean,sample_std,median,min,max,ci95_low,ci95_high
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,accuracy,160,0.9358766233766234,0.00891951713952527,0.9399350649350651,0.9090909090909092,0.948051948051948,0.9344945298769227,0.937258716876324
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,1,accuracy,160,0.9327313311688311,0.009148281893513424,0.9318181818181818,0.9025974025974026,0.9512987012987012,0.9313137902032529,0.9341488721344093
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,precision,160,0.49124604460082405,0.14738600671435562,0.5277777777777778,0.2,0.8,0.4684083462545666,0.5140837429470815
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,1,precision,160,0.42802840783442564,0.1438124535732878,0.4,0.2,0.75,0.4057444372841739,0.45031237838467736
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,recall,160,0.22861842105263155,0.08514191873919133,0.23684210526315785,0.0526315789473684,0.3684210526315789,0.21542554406156356,0.24181129804369955
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,1,recall,160,0.19572368421052627,0.07493892586966028,0.2105263157894736,0.0526315789473684,0.3684210526315789,0.18411177734394887,0.20733559107710367
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg2_sg3.csv,-1,accuracy,160,0.8940510797342192,0.0064903869296147184,0.8953488372093024,0.8787375415282392,0.9019933554817277,0.8930453838601441,0.8950567756082942
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg2_sg3.csv,1,accuracy,160,0.8942068106312293,0.006043193682108521,0.8945182724252492,0.8704318936877077,0.903654485049834,0.8932704080687562,0.8951432131937024
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg2_sg3.csv,-1,precision,160,0.32095924908424905,0.11471413040114427,0.375,0.0769230769230769,0.5,0.3031841104224632,0.3387343877460349
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg2_sg3.csv,1,precision,160,0.3239375608451296,0.11605575511825653,0.3333333333333333,0.1,0.5555555555555556,0.3059545352796523,0.3419205864106069
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg2_sg3.csv,-1,recall,160,0.06514830508474571,0.029174478215378403,0.0508474576271186,0.0169491525423728,0.1186440677966101,0.06062767285007527,0.06966893731941616
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg2_sg3.csv,1,recall,160,0.08103813559322029,0.04329231138792849,0.0847457627118644,0.0169491525423728,0.1694915254237288,0.07432992244442442,0.08774634874201616
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg3_sg1.csv,-1,accuracy,160,0.9305298625792812,0.020113124216775944,0.9397463002114166,0.8488372093023255,0.9534883720930232,0.9274133016933229,0.9336464234652394
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg3_sg1.csv,1,accuracy,160,0.8895348837209303,0.06887458115945828,0.9048625792811839,0.6120507399577167,0.945031712473573,0.8788626568025838,0.9002071106392767
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg3_sg1.csv,-1,precision,160,0.3273989523067401,0.18828147722432517,0.3788443616029823,0.0588235294117647,0.6538461538461539,0.29822443515349084,0.35657346945998936
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg3_sg1.csv,1,precision,160,0.22415239930295017,0.11260230328446613,0.20197044334975364,0.0822281167108753,0.5,0.20670449164311155,0.24160030696278878
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg3_sg1.csv,-1,recall,160,0.12439903846153841,0.08586516757194658,0.0961538461538461,0.0384615384615384,0.3269230769230769,0.11109409290276874,0.1377039840203081
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg3_sg1.csv,1,recall,160,0.24338942307692304,0.13924492939390767,0.2115384615384615,0.0576923076923076,0.6153846153846154,0.22181319773073324,0.2649656484231128
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,-1,accuracy,160,0.9327313311688311,0.006213559060787216,0.9318181818181818,0.9253246753246752,0.9448051948051948,0.931768530217436,0.9336941321202262
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,1,accuracy,160,0.9299918831168832,0.01036154306829868,0.9301948051948052,0.8896103896103896,0.9448051948051948,0.9283863453845653,0.931597420849201
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,-1,precision,160,0.4257549894957983,0.13064721771440285,0.4083333333333333,0.25,0.75,0.4055109933766692,0.44599898561492746
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,1,precision,160,0.4076349593722915,0.1071844096635455,0.3846153846153846,0.1739130434782608,0.6666666666666666,0.3910265630266206,0.4242433557179624
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,-1,recall,160,0.20394736842105257,0.07437375378339899,0.2105263157894736,0.1052631578947368,0.4210526315789473,0.19242303587653936,0.21547170096556578
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,1,recall,160,0.24013157894736836,0.0574393028031076,0.23684210526315785,0.1578947368421052,0.3684210526315789,0.23123126676794256,0.24903189112679416
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg2_sg3.csv,-1,accuracy,160,0.9010070598006645,0.002276382840000828,0.9011627906976745,0.8953488372093024,0.9053156146179402,0.9006543306252192,0.9013597889761099
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg2_sg3.csv,1,accuracy,160,0.8996573920265781,0.004183724543955858,0.9003322259136213,0.8870431893687708,0.9053156146179402,0.8990091171921573,0.900305666860999
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg2_sg3.csv,-1,precision,160,0.3878472222222222,0.23588399808275873,0.4722222222222222,0.0,0.75,0.35129661804333506,0.4243978264011093
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg2_sg3.csv,1,precision,160,0.3410154173312068,0.193268346913233,0.35416666666666663,0.0,0.625,0.3110681767139988,0.3709626579484149
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg2_sg3.csv,-1,recall,160,0.04396186440677963,0.034495165162572505,0.0338983050847457,0.0,0.1016949152542373,0.03861678318808597,0.04930694562547328
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg2_sg3.csv,1,recall,160,0.03866525423728809,0.034853396925212575,0.0338983050847457,0.0,0.135593220338983,0.033264664431886616,0.04406584404268956
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg3_sg1.csv,-1,accuracy,160,0.9252444503171248,0.029710446128164647,0.9349894291754757,0.8361522198731501,0.9482029598308668,0.920640768993953,0.9298481316402966
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg3_sg1.csv,1,accuracy,160,0.915036997885835,0.042018823643731766,0.9312896405919662,0.7494714587737844,0.945031712473573,0.9085261137073938,0.9215478820642763
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg3_sg1.csv,-1,precision,160,0.2775205738489245,0.16467820415751852,0.2463054187192118,0.0566037735849056,0.6666666666666666,0.25200342174885004,0.3030377259489989
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg3_sg1.csv,1,precision,160,0.25704227563026255,0.12253889992902255,0.22649572649572647,0.0851063829787234,0.5,0.23805467636865188,0.27602987489187325
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg3_sg1.csv,-1,recall,160,0.08894230769230764,0.06934591027221627,0.0769230769230769,0.0384615384615384,0.3269230769230769,0.07819704757129199,0.09968756781332329
