algorithm,model,metric_name,row_count,mean_historical_score,mean_probe_score,mean_score_delta,mean_parsed_edge_count
algo1,mistral-medium-2508,accuracy,2,0.8928571428571429,0.9415584415584416,0.04870129870129869,4.5
algo1,mistral-medium-2508,precision,2,0.29122807017543856,0.6333333333333333,0.34210526315789475,4.5
algo1,mistral-medium-2508,recall,2,0.5263157894736842,0.13157894736842105,-0.3947368421052631,4.5
algo1,mistral-small-2506,accuracy,2,0.8928571428571429,0.9285714285714286,0.0357142857142857,5.0
algo1,mistral-small-2506,precision,2,0.29122807017543856,0.2,-0.09122807017543855,5.0
algo1,mistral-small-2506,recall,2,0.5263157894736842,0.05263157894736842,-0.47368421052631576,5.0
algo1,mistral-small-2603,accuracy,2,0.8928571428571429,0.9415584415584416,0.04870129870129869,6.0
algo1,mistral-small-2603,precision,2,0.29122807017543856,0.6666666666666666,0.37543859649122807,6.0
algo1,mistral-small-2603,recall,2,0.5263157894736842,0.10526315789473684,-0.42105263157894735,6.0
algo2,mistral-medium-2508,accuracy,2,0.913961038961039,0.9366883116883117,0.022727272727272707,4.5
algo2,mistral-medium-2508,precision,2,0.39166666666666666,0.45,0.05833333333333335,4.5
algo2,mistral-medium-2508,recall,2,0.4210526315789473,0.10526315789473684,-0.31578947368421045,4.5
algo2,mistral-small-2506,accuracy,2,0.913961038961039,0.9253246753246753,0.011363636363636354,6.0
algo2,mistral-small-2506,precision,2,0.39166666666666666,0.17142857142857143,-0.22023809523809523,6.0
algo2,mistral-small-2506,recall,2,0.4210526315789473,0.05263157894736842,-0.36842105263157887,6.0
algo2,mistral-small-2603,accuracy,2,0.913961038961039,0.9415584415584416,0.02759740259740262,6.0
algo2,mistral-small-2603,precision,2,0.39166666666666666,0.6666666666666666,0.27499999999999997,6.0
algo2,mistral-small-2603,recall,2,0.4210526315789473,0.10526315789473684,-0.31578947368421045,6.0
algo3,mistral-medium-2508,recall,2,0.0,0.0,0.0,13.5
algo3,mistral-small-2506,recall,2,0.0,0.0,0.0,30.5
algo3,mistral-small-2603,recall,2,0.0,0.0,0.0,20.0
