Explanation,metric,condition_count,mean_cv,median_cv,mean_range_width,max_range_width
-1,accuracy,288,4.50587368421007e-05,0.0,9.018759018758958e-05,0.0259740259740258
-1,precision,288,0.00217842353923091,0.0,0.0008060515873015871,0.2321428571428571
-1,recall,288,0.0018561715363861022,0.0,0.0005482456140350879,0.1578947368421053
1,accuracy,288,2.8792230679787455e-06,0.0,5.767811000369097e-06,0.0016611295681063
1,precision,288,0.002513565622189511,0.0,0.0016248219373219371,0.3846153846153846
1,recall,288,0.002010852497751609,0.0,0.0003338675213675212,0.0961538461538461
