accuracy,recall,precision,Feature
4.355040757323406,4.355040757323406,5.5159474671669795,Array/List(1/-1)
0.1130315641629119,0.1130315641629119,0.20012507817385866,Counterexample
1.7680022787955951,1.7680022787955951,1.5134459036898062,Example
0.06018992715468424,0.06018992715468424,2.4515322076297688,Explanation
89.81831559025531,89.81831559025531,82.06378986866791,Tag/Adjacency(1/-1)
9.173895313928923e-06,9.173895313928923e-06,0.012507817385866166,Array/List(1/-1)_AND_Tag/Adjacency(1/-1)
0.37063454457802125,0.37063454457802125,2.4515322076297688,Counterexample_AND_Array/List(1/-1)
0.13431500129122578,0.13431500129122578,0.20012507817385866,Counterexample_AND_Tag/Adjacency(1/-1)
0.6737400457502156,0.6737400457502156,1.0131332082551596,Example_AND_Array/List(1/-1)
0.20366964986452454,0.20366964986452454,0.450281425891182,Example_AND_Counterexample
0.5687906833588751,0.5687906833588751,0.012507817385866166,Example_AND_Tag/Adjacency(1/-1)
0.6638322388111734,0.6638322388111734,0.450281425891182,Explanation_AND_Array/List(1/-1)
0.1574332174823257,0.1574332174823257,1.0131332082551596,Explanation_AND_Counterexample
1.0667497209989092,1.0667497209989092,2.4515322076297688,Explanation_AND_Example
0.046245606277513084,0.046245606277513084,0.20012507817385866,Explanation_AND_Tag/Adjacency(1/-1)
