source_input,Tag/Adjacency(1/-1),metric,n,mean,sample_std,median,min,max,ci95_low,ci95_high
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,accuracy,160,0.9356737012987013,0.007347894935263775,0.935064935064935,0.922077922077922,0.948051948051948,0.9345351331825519,0.9368122694148507
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,1,accuracy,160,0.9329342532467532,0.010509944894489316,0.935064935064935,0.9025974025974026,0.9512987012987012,0.9313057204132303,0.934562786080276
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,precision,160,0.4834184810287751,0.13132642961018137,0.4415584415584415,0.25,0.8,0.46306923993602345,0.5037677221215268
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,1,precision,160,0.4358559714064745,0.16134006943199747,0.4222222222222222,0.2,0.75,0.4108560686409882,0.4608558741719607
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,recall,160,0.22532894736842102,0.0772287558918192,0.2105263157894736,0.0526315789473684,0.3684210526315789,0.21336222766393548,0.23729566707290656
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,1,recall,160,0.19901315789473678,0.08424194113636278,0.2105263157894736,0.0526315789473684,0.3684210526315789,0.18595973387800455,0.21206658191146902
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg2_sg3.csv,-1,accuracy,160,0.8943625415282392,0.006571763858029578,0.8953488372093024,0.8704318936877077,0.9019933554817277,0.8933442361684679,0.8953808468880106
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg2_sg3.csv,1,accuracy,160,0.8938953488372092,0.005946395009139631,0.893687707641196,0.8787375415282392,0.903654485049834,0.8929739453845082,0.8948167522899102
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg2_sg3.csv,-1,precision,160,0.33678004158742647,0.1026445681431463,0.36607142857142855,0.1,0.5,0.320875100973368,0.3526849822014849
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg2_sg3.csv,1,precision,160,0.3081167683419522,0.12523358372835827,0.29910714285714285,0.0769230769230769,0.5555555555555556,0.2887116234997285,0.32752191318417584
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg2_sg3.csv,-1,recall,160,0.08103813559322029,0.040040120291359116,0.0847457627118644,0.0169491525423728,0.1694915254237288,0.07483385467573714,0.08724241651070344
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg2_sg3.csv,1,recall,160,0.06514830508474571,0.03349870402720742,0.0508474576271186,0.0169491525423728,0.135593220338983,0.05995762711864402,0.0703389830508474
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg3_sg1.csv,-1,accuracy,160,0.9052589852008458,0.06311212028400878,0.9175475687103595,0.6120507399577167,0.945031712473573,0.8954796608459068,0.9150383095557848
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg3_sg1.csv,1,accuracy,160,0.9148057610993657,0.04432637941249341,0.921247357293869,0.7019027484143763,0.9534883720930232,0.9079373174501242,0.9216742047486073
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg3_sg1.csv,-1,precision,160,0.2669519027788595,0.1649859475877811,0.2321428571428571,0.0588235294117647,0.5,0.2413870653402305,0.2925167402174885
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg3_sg1.csv,1,precision,160,0.2845994488308308,0.1616031561172082,0.2633333333333333,0.0588235294117647,0.6538461538461539,0.25955878036112545,0.3096401173005362
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg3_sg1.csv,-1,recall,160,0.17187499999999994,0.12584956541247996,0.1538461538461538,0.0384615384615384,0.5961538461538461,0.1523744078069565,0.1913755921930434
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg3_sg1.csv,1,recall,160,0.1959134615384615,0.13325540652425003,0.173076923076923,0.0384615384615384,0.6153846153846154,0.17526532237619522,0.2165616007007278
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,-1,accuracy,160,0.9312094155844155,0.0103134428020511,0.9318181818181818,0.8896103896103896,0.9448051948051948,0.9296113310655704,0.9328075001032606
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,1,accuracy,160,0.9315137987012987,0.006582709149413758,0.9318181818181818,0.9188311688311688,0.9448051948051948,0.9304937973510564,0.932533800051541
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,-1,precision,160,0.41829440562456865,0.13882493477689967,0.4,0.1739130434782608,0.75,0.39678325911852186,0.43980555213061545
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,1,precision,160,0.41509554324352116,0.09718478463411105,0.4,0.25,0.6666666666666666,0.40003660484904163,0.4301544816380007
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,-1,recall,160,0.20888157894736836,0.0691975582012221,0.2105263157894736,0.1052631578947368,0.3684210526315789,0.19815930621791,0.21960385167682672
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,1,recall,160,0.23519736842105257,0.0659754075651437,0.2105263157894736,0.1052631578947368,0.4210526315789473,0.22497437310532845,0.2454203637367767
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg2_sg3.csv,-1,accuracy,160,0.9000726744186046,0.004105211398363813,0.9003322259136213,0.8870431893687708,0.9053156146179402,0.8994365653221342,0.900708783515075
